#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE20B
#Date Time: 2021-12-18 19:34:19.647
#Sample rate: 3.44828e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Pulse Condition: Positive Level: -5.88 mV LCondition: Less Length: 500 ms Hyst.: 100 mV HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: 1.2 div Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: -2.16 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.000443642505800464,0.002526485920402626,1.684912514716309
-0.000443352505800464,-0.008363499472653416,1.730857756871531
-0.0004430625058004642,-0.00666193925498906,1.723370384075868
-0.0004427725058004641,-0.005300691080856188,1.727794740727849
-0.0004424825058004641,-0.003939442906723463,1.725752729965397
-0.0004421925058004641,-0.00462006699378921,1.726773735346623
-0.0004419025058004641,-0.007342563342054652,1.732559432506914
-0.0004416125058004641,-0.008703811516187369,1.733580437888141
-0.0004413225058004641,-0.009044123559720556,1.734941778396445
-0.0004410325058004641,-0.007682875385587831,1.732899767633989
-0.0004407425058004641,-0.006321627211455107,1.729156081236155
-0.000440452505800464,-0.00462006699378921,1.727454405600775
-0.000440162505800464,-0.004279754950256023,1.727114070473699
-0.000439872505800464,-0.00462006699378921,1.729836751490306
